,unit,SH_r2,SI_r2,SL_r2,final_r2,probe,session,SH_rate,SI_rate,SL_rate,total_rate,presence_ratio,amplitude_cutoff,isi_violations,rf_x,rf_y
0,6,0.3697221738669567,0.10512206701944468,0.04537353416292707,0.23809496576195555,probeC,767871931,3.329261799617903,6.83729433272395,9.57229309780831,5.56488361911048,0.99,0.0168683754335717,0.0499517080132915,5,4
1,20,0.056807328408730484,0.03106432480764245,0.021334482313755544,0.04675781151769569,probeC,767871931,1.7100441604810677,2.7178549664838516,3.2486915276414785,1.7994294733502,0.99,0.0228344908907628,0.361219088981608,2,4
2,25,0.2923193150182696,0.23483243822033356,0.1740698384862192,0.2442462240962658,probeC,767871931,13.85104450499546,15.986187284176317,23.313297350343476,11.2324422249527,0.99,0.000225947503430278,0.0,2,4
3,39,0.037714155883112666,0.026895478815270636,0.02173045314916311,0.030384496654578895,probeC,767871931,2.918976479062921,2.5959780621572213,2.8500163559044815,2.6388478207583,0.99,0.0489869544227729,0.308833798226117,7,6
4,43,0.0426774423527452,0.06699092397200068,0.04816249611366039,0.07086180012551328,probeC,767871931,95.80632027310597,96.10603290676417,80.851324828263,68.0844883341016,0.99,0.0169790461774078,0.00516025971616766,4,4
5,44,0.05082313380169727,0.046914440764155386,0.06034254074616339,0.12256527041479501,probeC,767871931,11.387766607159637,6.977452772699574,5.4076709192018315,13.1941384420398,0.99,5.73985623203667e-05,0.00693532093983373,1,1
6,45,0.09567907159716744,0.0640015275572473,0.04593430594814609,0.18327574131163565,probeC,767871931,11.48798897553948,7.097298395287427,5.254334314687602,8.54557874863457,0.99,0.00516745312077443,0.0304822983028308,3,4
7,46,0.051940683517883834,0.08307562514986919,0.0942091547994203,0.13446203831040965,probeC,767871931,9.483541607942623,6.225878529352022,3.6575891396794242,8.52705698632217,0.99,0.011487017054446,0.0913256970005231,1,4
8,47,0.1427792642590437,0.5029238154418663,0.28637891437389695,0.3164834648314294,probeC,767871931,16.54921857872154,20.871419865935408,19.107785410533204,11.1488929710435,0.99,0.0396635380587516,0.0786181413688859,3,4
9,48,0.18402163567106355,0.04495246154052561,0.04979474968302986,0.37012653058705103,probeC,767871931,58.25268564627768,34.775543367865126,22.397366699378477,33.7537979175607,0.99,0.0025095391966537,0.0072192561319349,3,4
10,52,0.026715501813262342,0.11057126465195825,0.0967886546792204,0.10168355416139692,probeC,767871931,13.946568949857499,12.45378834044282,8.341511285574093,8.40515560501612,0.99,8.68901501720955e-05,0.00053405642282405,4,3
11,53,0.012646225046128511,0.023349729806430818,0.02211528305845163,0.05280076891795664,probeC,767871931,12.510570327915064,11.237050578915296,8.903745502126268,7.8060168589107,0.99,0.0389133828170454,0.0544881873747271,2,5
12,57,0.027851263596140697,0.027329784665634137,0.0,0.025364218350885225,probeC,767871931,8.042845062482384,7.436522445663214,7.178197579326136,7.2385865645901,0.99,0.000131601250385401,0.0,5,5
13,58,0.05158876598463798,0.030709291238405934,0.026375151287743436,0.08059485790155793,probeC,767871931,13.230918600645182,11.742839731870811,9.128639188747137,7.07168938027512,0.99,0.0048232755799422,0.0543206305087498,5,5
14,59,0.01667415058991628,0.022820321534770472,0.013661491523125902,0.03300892094938381,probeC,767871931,1.154123210874127,1.2004875076173067,2.101733725875041,1.93814136718979,0.99,0.0274230968497642,0.0301320729973608,4,5
15,60,0.09141351392136772,0.04455104046301091,0.09485436206217172,0.1049841834107013,probeC,767871931,9.353565723950014,8.0784074751168,12.111547268563951,10.104426635427,0.99,0.0983732485176805,0.0140423212743521,6,1
16,61,0.06314714709127475,0.020102557141331003,0.024244874460416788,0.10185509060916091,probeC,767871931,8.362303861693132,6.290879544992891,4.369070984625449,6.2466656633598,0.99,0.000261402674889248,0.00193380255591565,5,5
17,62,0.01967528360408304,0.027401786575248853,0.04208049868510326,0.08377912077827657,probeC,767871931,12.039212001628615,10.489538899045298,7.37855740922473,7.32726956783588,0.99,0.0812918253447717,0.0407588867132162,2,4
18,66,0.042590803745648456,0.05648218190826813,0.04656023439651846,0.05343447383189517,probeC,767871931,12.939647342541265,13.022547227300429,11.234461890742558,8.4796453012725,0.99,0.0680162745514757,0.028334597354365,5,5
19,67,0.08892336430945055,0.1261866589760779,0.08963001152043773,0.23484728032303098,probeC,767871931,15.298004948479441,10.96892138939671,6.947170428524697,10.3206480780739,0.99,0.00154178724467486,0.0382550236805662,4,2
20,71,0.020685128135014063,0.015043429041727552,0.02026228520310911,0.019444521182981366,probeC,767871931,2.6840803031726646,2.8478569977655903,2.6169447170428524,2.83594353058263,0.99,9.18547978600449e-06,0.0140735854808179,4,3
21,72,0.06843908383541737,0.040194048224986734,0.05692931902923486,0.12180094352096686,probeC,767871931,9.947070061699396,7.09526711354865,4.479473339875695,4.81998665654663,0.99,0.00654004576779313,0.0389760862973789,4,4
22,73,0.10598083947747887,0.12704204335555253,0.07781832041526641,0.16973213902190626,probeC,767871931,10.935199974944409,7.186674791793623,5.448560680405627,5.39134275918344,0.99,0.000653794053346042,0.0116822711226255,4,4
23,74,0.04728445957103988,0.012722453054653204,0.04495622511607631,0.07754601722219445,probeC,767871931,19.192583544739893,18.072313629900467,14.403418384036637,14.2536033786594,0.99,0.010714580488667,0.0265561648553093,5,4
24,75,0.06724823646645697,0.053845353188801126,0.040197671447188665,0.17141533041665225,probeC,767871931,13.099376742146639,8.448100751574245,5.127576054955839,5.87602909360844,0.99,0.00179155370646248,0.054636237964051,5,4
25,76,0.01744209968685497,0.02137218089221311,0.03425143616433812,0.028737046796023867,probeC,767871931,5.634376272354286,4.629291082673167,4.297513902518809,4.76522666362301,0.99,0.000329816768535117,0.0216000563589374,5,3
26,77,0.014825876675665529,0.02127950861557586,0.026240330839918925,0.04103766276988845,probeC,767871931,5.823859187572427,4.288035750558603,2.8132155708210664,3.7508581917641,0.99,0.0286000381150357,0.294991874291544,4,5
27,79,0.053955217843362636,0.012307111904995893,0.015258724421106628,0.04538291187787378,probeC,767871931,6.176203451407812,4.732886451350803,4.428361138370952,4.00251257100865,0.99,0.0207084141378767,0.4121461979692,5,4
28,81,0.016821051549218802,0.017733823310618745,0.006448508337269843,0.021757361055410263,probeC,767871931,2.1798365122615806,1.8281535648994518,1.2818940137389598,1.2918929212898,0.99,0.0148382245082178,0.406909778258884,4,4
29,84,0.029014607023579386,0.03281232241188452,0.021701443367252347,0.07470850309856367,probeC,767871931,6.984246296470294,7.107454803981313,3.2384690873405297,3.17779083934842,0.99,0.00126625749613782,0.0149447285881183,5,3
30,85,0.0674516670042338,0.0661454027019381,0.08068897572895053,0.12454641950691114,probeC,767871931,29.712800275611517,26.189315458054036,17.408815832515536,13.2990279873089,0.99,0.00260109798551525,0.0151459740068403,4,5
31,90,0.012858581381859868,0.014636745952146835,0.009280200330993882,0.024275377080443538,probeC,767871931,2.1344232515894643,1.9804996953077394,1.106068040562643,2.08238965737276,0.99,0.00760542853941738,0.0348028374852172,2,3
32,91,0.019553617007802317,0.015382743836261014,0.007475594594570168,0.038450127336505616,probeC,767871931,3.562592001002224,2.5736339630306726,1.4883873078181222,1.75413168508618,0.99,0.00040023073262232,0.0122618012300695,3,3
33,92,0.039506381344302864,0.035299580727679025,0.0263959031622653,0.04698552509582863,probeC,767871931,9.704344013279465,9.457647775746496,7.491004252535165,6.06195134899431,0.99,0.000260631570716021,0.017454310064616,5,5
34,93,0.03231030851847159,0.019575376317455893,0.050731896807419276,0.03727494636403463,probeC,767871931,2.519652980049485,2.4741011578305914,1.6601243048740595,2.81560985673967,0.99,0.000284528211725421,0.00475919724615983,4,2
35,96,0.03966875516715072,0.02465440769530398,0.01592186030069238,0.16955241667052395,probeC,767871931,16.708947978326915,13.361771277676215,8.147284919856068,9.75241248973972,0.99,0.0251495892885158,0.0507767036935788,3,4
36,97,0.028353595490743722,0.012305374136934822,0.02643330183057573,0.035736083722217704,probeC,767871931,6.018040026308372,8.543570993296772,8.012348707883547,6.25220205970318,0.99,0.0241157965033862,0.0260601200607954,3,5
37,99,0.04754297672804384,0.14058443479110588,0.1293866829796315,0.1821329748004488,probeC,767871931,3.1429108334116322,7.154174283973187,11.790562643114164,6.04967061528717,0.99,0.00183200834155299,0.0185561427455731,4,4
38,102,0.03249459020295333,0.02458221497640578,0.036053704673582446,0.03402516551045247,probeC,767871931,2.5995176798521724,2.8620759699370306,1.9892868825646057,1.94136254324412,0.99,0.00176501880464509,0.0700750483810589,4,4
39,103,0.0115932475053258,0.04347902952675773,0.023049977449529902,0.03408469324821204,probeC,767871931,2.2142879513921514,3.4450538289660777,2.537209682695453,1.79771822357133,0.99,0.00368055620506094,0.128418650485446,3,4
