unit,area LFPs,behavior,c50_dg,cell_type,full model,layer,lifetime_sparseness_dg,max_state,mod_idx_dg,"other area
population activity",pref_ori_dg,pref_tf_dg,probe,rf_area,rf_x,rf_y,run_mod_dg,run_pval_dg,session,state,stimulus,total_rate,wf_duration,label,n_sources,cluster_name
6.0,0.026573572746903796,0.23809496576195555,[0.5266902],['RS'],0.18904901413201144,['L56'],[0.01155803],0.0,[0.25437171],0.08008058756569487,[90.],[2.],0.0,[2300.],[5],[4],[-0.76802001],[1.67917193e-19],767871931.0,0.030020344525996157,0.15273187219136372,[5.56488362],[0.96147404],3,2,stimulus+behavior
20.0,0.02389995975511907,0.04675781151769569,[0.12023922],['RS'],0.1079507053372362,['L56'],[0.7557164],0.3333333333333333,[1.36403888],0.05316052676255294,[90.],[2.],0.0,[900.],[2],[4],[0.3641246],[4.40002812e-12],767871931.0,0.0042849832924928945,0.04795659267353447,[1.79942947],[0.65929648],1,0,unexplained
25.0,0.08854666408409737,0.2442462240962658,[0.31276863],['FS'],0.42333529880962767,['L56'],[0.19911747],0.0,[0.21420893],0.2796292769945242,[0.],[2.],0.0,[1000.],[2],[4],[0.32558815],[3.74541329e-09],767871931.0,0.015746599091496716,0.1276774966701047,[11.23244222],[0.26097152],6,3,multi-source2
39.0,0.0,0.030384496654578895,[0.05178431],['RS'],0.10549948635940223,['L56'],[0.19558396],0.0,[5.47438511],0.046334947297567444,[135.],[2.],0.0,[300.],[7],[6],[0.35789474],[1.3945226e-05],767871931.0,-0.00012208644028335324,0.09037496196790569,[2.63884782],[0.59061977],1,0,unexplained
43.0,0.0,0.07086180012551328,[0.15018824],['FS'],0.0,['L56'],[0.03530394],0.0,[1.23463141],0.0,[0.],[2.],0.0,[500.],[4],[4],[0.28933926],[3.17128837e-10],767871931.0,0.00466159181451864,0.1553330639309389,[68.08448833],[0.21976549],8,1,stimulus2
44.0,0.07838038671762822,0.12256527041479501,[0.19725098],['RS'],0.29715082460277475,['L56'],[0.11910704],0.0,[4.17537836],0.12324523412986717,[90.],[2.],0.0,[700.],[1],[1],[0.28846154],[0.08169617],767871931.0,0.02114164138929615,0.23767239248703848,[13.19413844],[0.67303183],6,3,multi-source2
45.0,0.05790447947254784,0.18327574131163565,[0.21864314],['RS'],0.2631323265214478,['L56'],[0.15910131],0.0,[1.44299831],0.14596359161387146,[0.],[2.],0.0,[500.],[3],[4],[0.0851562],[0.17022898],767871931.0,0.027180546591870948,0.2453565679003503,[8.54557875],[0.54941374],6,3,multi-source2
46.0,0.05946330100024606,0.13446203831040965,[0.40261569],['RS'],0.32310980073856366,['L56'],[0.18247622],0.0,[4.44960963],0.12876433664771827,[90.],[2.],0.0,[800.],[1],[4],[0.30189237],[2.07453713e-09],767871931.0,0.02232163966330756,0.2938513492611957,[8.52705699],[0.59061977],6,3,multi-source2
47.0,0.0,0.3164834648314294,[0.06461961],['FS'],0.382990745228201,['L56'],[0.09798043],0.3333333333333333,[0.0612627],0.27868491304755244,[45.],[2.],0.0,[2000.],[3],[4],[0.30141025],[2.69999367e-11],767871931.0,0.0011965935038204868,0.03586533685077411,[11.14889297],[0.17855946],6,2,multi-source2
48.0,0.1853327310221234,0.37012653058705103,[0.30421176],['FS'],0.35374155814531155,['L56'],[0.00705121],0.0,[6.24591596],0.31480932546640894,[0.],[2.],0.0,[600.],[3],[4],[0.17286129],[0.00035498],767871931.0,0.12815381151431726,0.327847064628878,[33.75379792],[0.21976549],4,4,multi-source1
52.0,0.012061688264672289,0.10168355416139692,[0.03894902],['RS'],0.28806343181141336,['L56'],[0.09256068],0.3333333333333333,[1.21364263],0.12792571789281457,[0.],[2.],0.0,[600.],[4],[3],[-0.37878024],[1.44673885e-05],767871931.0,0.012061215606475838,0.28670657162666996,[8.40515561],[0.57688442],6,3,multi-source2
