unit,area LFPs,behavior,c50_dg,cell_type,full model,layer,lifetime_sparseness_dg,max_state,mod_idx_dg,"other area
population activity",pref_ori_dg,pref_tf_dg,probe,rf_area,rf_x,rf_y,run_mod_dg,run_pval_dg,session,stimulus,total_rate,wf_duration,label,cluster_name,n_sources
6.0,0.0,0.3697221738669567,[0.5266902],['RS'],0.42217002327793074,['L56'],[0.01155803],0.0,[0.25437171],0.228827775354958,[90.],[2.],0.0,[2300.],[5],[4],[-0.76802001],[1.67917193e-19],767871931.0,0.0726686441062604,[5.56488362],[0.96147404],8,stimulus+population,2
20.0,0.0,0.056807328408730484,[0.12023922],['RS'],0.06675761269593221,['L56'],[0.7557164],0.3333333333333333,[1.36403888],0.020591657724322986,[90.],[2.],0.0,[900.],[2],[4],[0.3641246],[4.40002812e-12],767871931.0,0.009322211929724577,[1.79942947],[0.65929648],1,unexplained,0
25.0,0.0,0.2923193150182696,[0.31276863],['FS'],0.5848129864055263,['L56'],[0.19911747],0.0,[0.21420893],0.4065996672402813,[0.],[2.],0.0,[1000.],[2],[4],[0.32558815],[3.74541329e-09],767871931.0,0.26384047546988365,[11.23244222],[0.26097152],5,multisource1,3
39.0,0.01851560747643157,0.037714155883112666,[0.05178431],['RS'],0.18454422943796878,['L56'],[0.19558396],0.0,[5.47438511],0.07017925917653559,[135.],[2.],0.0,[300.],[7],[6],[0.35789474],[1.3945226e-05],767871931.0,0.15810185795693896,[2.63884782],[0.59061977],3,stimulus1,1
43.0,0.0,0.0426774423527452,[0.15018824],['FS'],0.1344814718063914,['L56'],[0.03530394],0.0,[1.23463141],0.10000450775893441,[0.],[2.],0.0,[500.],[4],[4],[0.28933926],[3.17128837e-10],767871931.0,0.1859951622115516,[68.08448833],[0.21976549],8,stimulus+population,2
44.0,0.005450380280025735,0.05082313380169727,[0.19725098],['RS'],0.2943048212288272,['L56'],[0.11910704],0.0,[4.17537836],0.06239090624972181,[90.],[2.],0.0,[700.],[1],[1],[0.28846154],[0.08169617],767871931.0,0.21731953167224285,[13.19413844],[0.67303183],3,stimulus1,1
45.0,0.0,0.09567907159716744,[0.21864314],['RS'],0.29722051105405634,['L56'],[0.15910131],0.0,[1.44299831],0.05862636893073185,[0.],[2.],0.0,[500.],[3],[4],[0.0851562],[0.17022898],767871931.0,0.19361907813401638,[8.54557875],[0.54941374],11,stimulus1,1
46.0,0.0,0.051940683517883834,[0.40261569],['RS'],0.33625554358518717,['L56'],[0.18247622],0.0,[4.44960963],0.06467220341519002,[90.],[2.],0.0,[800.],[1],[4],[0.30189237],[2.07453713e-09],767871931.0,0.2817156281267524,[8.52705699],[0.59061977],10,stimulus2,1
47.0,0.0,0.1427792642590437,[0.06461961],['FS'],0.38122025192486214,['L56'],[0.09798043],0.3333333333333333,[0.0612627],0.33638925652969975,[45.],[2.],0.0,[2000.],[3],[4],[0.30141025],[2.69999367e-11],767871931.0,0.032078706703111505,[11.14889297],[0.17855946],7,stimulus+behavior,2
48.0,0.0,0.18402163567106355,[0.30421176],['FS'],0.2826338103987448,['L56'],[0.00705121],0.0,[6.24591596],0.1333003821529119,[0.],[2.],0.0,[600.],[3],[4],[0.17286129],[0.00035498],767871931.0,0.08980765650467512,[33.75379792],[0.21976549],7,stimulus+behavior,2
52.0,0.01452478369803043,0.026715501813262342,[0.03894902],['RS'],0.309913864486831,['L56'],[0.09256068],0.3333333333333333,[1.21364263],0.11261941111634251,[0.],[2.],0.0,[600.],[4],[3],[-0.37878024],[1.44673885e-05],767871931.0,0.26571348583923315,[8.40515561],[0.57688442],8,stimulus+population,2
53.0,0.0,0.012646225046128511,[0.10312549],['RS'],0.1222139752203717,['L56'],[0.04555463],0.0,[2.07443269],0.024433051503462734,[135.],[2.],0.0,[500.],[2],[5],[0.21305816],[5.43355024e-07],767871931.0,0.10178867720841973,[7.80601686],[0.61809045],9,stimulus1,1
57.0,0.0,0.027851263596140697,[0.05606275],['RS'],0.22416535547957778,['L56'],[0.13652984],0.0,[0.85673354],0.09159438950323706,[135.],[2.],0.0,[400.],[5],[5],[0.3379694],[4.87189124e-05],767871931.0,0.1908867997088528,[7.23858656],[0.64556114],11,stimulus1,1
58.0,0.0,0.05158876598463798,[0.23147843],['RS'],0.11170816964485437,['L56'],[0.04670208],0.0,[2.88242342],0.026472290160100574,[135.],[2.],0.0,[500.],[5],[5],[0.29349364],[7.66357836e-10],767871931.0,0.11029848646599434,[7.07168938],[0.60435511],9,stimulus1,1
59.0,0.0,0.01667415058991628,[0.13307451],['RS'],0.058770627815444135,['L56'],[0.07520843],0.0,[0.23290368],0.0068694738293442635,[0.],[2.],0.0,[500.],[4],[5],[0.3666466],[1.50813704e-06],767871931.0,0.03893424121350504,[1.93814137],[0.67303183],2,unexplained,0
60.0,0.017783140319738246,0.09141351392136772,[0.25714902],['RS'],0.20756169577321568,['L56'],[0.1119783],0.0,[0.7034974],0.07635975657910765,[0.],[2.],0.0,[1700.],[6],[1],[0.18709553],[0.00313727],767871931.0,0.08436554711158491,[10.10442664],[0.59061977],8,stimulus+population,0
61.0,0.0,0.06314714709127475,[0.60370196],['RS'],0.14804921775293783,['L56'],[0.15778554],0.0,[0.07920679],0.06716386320937709,[45.],[2.],0.0,[300.],[5],[5],[-0.40252874],[0.00496247],767871931.0,0.0599342056616631,[6.24666566],[0.60435511],1,unexplained,0
62.0,0.0,0.01967528360408304,[0.15446667],['RS'],0.12052720691737868,['L56'],[0.12263549],0.0,[4.2817297],0.03835016450556228,[90.],[2.],0.0,[600.],[2],[4],[0.15604801],[0.00088837],767871931.0,0.1047155458343084,[7.32726957],[0.56314908],9,stimulus1,1
66.0,0.0,0.042590803745648456,[0.42400784],['FS'],0.13414008281180886,['L56'],[0.03064311],0.0,[7.02969456],0.05729095809772351,[90.],[2.],0.0,[800.],[5],[5],[0.32642212],[2.94575207e-09],767871931.0,0.09781256037070822,[8.4796453],[0.23350084],1,unexplained,0
67.0,0.0,0.08892336430945055,[0.25714902],['RS'],0.1685392025053299,['L56'],[0.04639475],0.0,[0.5476085],0.06321021993536613,[0.],[2.],0.0,[1100.],[4],[2],[-0.29065186],[0.0006324],767871931.0,0.12361049939275508,[10.32064808],[0.52194305],11,stimulus1,1
71.0,0.0,0.020685128135014063,[0.12879608],['RS'],0.2323410067674076,['L56'],[0.12970056],0.0,[0.41269232],0.03332837919171794,[45.],[2.],0.0,[600.],[4],[3],[0.60898084],[8.02648327e-11],767871931.0,0.21606313945542452,[2.83594353],[0.64556114],10,stimulus2,1
72.0,0.0,0.06843908383541737,[0.20152941],['RS'],0.24639963867823428,['L56'],[0.01379716],0.0,[6.69278211],0.06620531878489336,[90.],[2.],0.0,[800.],[4],[4],[0.03974221],[0.37001759],767871931.0,0.17304193007315258,[4.81998666],[0.61809045],11,stimulus1,1
73.0,0.0,0.10598083947747887,[0.0774549],['RS'],0.3190654613558556,['L56'],[0.08408998],0.0,[4.25420176],0.24876333943812798,[45.],[2.],0.0,[800.],[4],[4],[0.38162544],[1.3548612e-05],767871931.0,0.15119180840897062,[5.39134276],[0.61809045],5,multisource1,3
