unit,area LFPs,behavior,c50_dg,cell_type,full model,layer,lifetime_sparseness_dg,max_state,mod_idx_dg,"other area
population activity",pref_ori_dg,pref_tf_dg,probe,rf_area,rf_x,rf_y,run_mod_dg,run_pval_dg,session,stimulus,total_rate,wf_duration,label,cluster_name,n_sources
6.0,0.0,0.04537353416292707,[0.5266902],['RS'],0.0,['L56'],[0.01155803],0.0,[0.25437171],0.0,[90.],[2.],0.0,[2300.],[5],[4],[-0.76802001],[1.67917193e-19],767871931.0,0.007284471103308432,[5.56488362],[0.96147404],7,unexplained,0
20.0,0.008874676749952593,0.021334482313755544,[0.12023922],['RS'],0.09581437367524152,['L56'],[0.7557164],0.3333333333333333,[1.36403888],0.05264706036969424,[90.],[2.],0.0,[900.],[2],[4],[0.3641246],[4.40002812e-12],767871931.0,0.030111594761879013,[1.79942947],[0.65929648],2,unexplained,0
25.0,0.09108431699632984,0.1740698384862192,[0.31276863],['FS'],0.30453009618462107,['L56'],[0.19911747],0.0,[0.21420893],0.1941870560332448,[0.],[2.],0.0,[1000.],[2],[4],[0.32558815],[3.74541329e-09],767871931.0,0.03299097426173767,[11.23244222],[0.26097152],1,multi-source1,2
39.0,0.0,0.02173045314916311,[0.05178431],['RS'],0.0,['L56'],[0.19558396],0.0,[5.47438511],0.024327390176547635,[135.],[2.],0.0,[300.],[7],[6],[0.35789474],[1.3945226e-05],767871931.0,0.00862965917037164,[2.63884782],[0.59061977],4,unexplained,0
43.0,0.0,0.04816249611366039,[0.15018824],['FS'],0.0,['L56'],[0.03530394],0.0,[1.23463141],0.0,[0.],[2.],0.0,[500.],[4],[4],[0.28933926],[3.17128837e-10],767871931.0,0.06554380373753785,[68.08448833],[0.21976549],7,unexplained,0
44.0,0.0,0.06034254074616339,[0.19725098],['RS'],0.049495133223104726,['L56'],[0.11910704],0.0,[4.17537836],0.0,[90.],[2.],0.0,[700.],[1],[1],[0.28846154],[0.08169617],767871931.0,0.03236288755101222,[13.19413844],[0.67303183],7,unexplained,0
45.0,0.0,0.04593430594814609,[0.21864314],['RS'],0.0,['L56'],[0.15910131],0.0,[1.44299831],0.0,[0.],[2.],0.0,[500.],[3],[4],[0.0851562],[0.17022898],767871931.0,0.03131679807745495,[8.54557875],[0.54941374],7,unexplained,0
46.0,0.0,0.0942091547994203,[0.40261569],['RS'],0.0,['L56'],[0.18247622],0.0,[4.44960963],0.0,[90.],[2.],0.0,[800.],[1],[4],[0.30189237],[2.07453713e-09],767871931.0,0.09142319941136663,[8.52705699],[0.59061977],7,unexplained,0
47.0,0.0,0.28637891437389695,[0.06461961],['FS'],0.24046813255147223,['L56'],[0.09798043],0.3333333333333333,[0.0612627],0.14596035692405804,[45.],[2.],0.0,[2000.],[3],[4],[0.30141025],[2.69999367e-11],767871931.0,0.028331350402851795,[11.14889297],[0.17855946],1,multi-source1,2
48.0,0.0,0.04979474968302986,[0.30421176],['FS'],0.0,['L56'],[0.00705121],0.0,[6.24591596],0.0,[0.],[2.],0.0,[600.],[3],[4],[0.17286129],[0.00035498],767871931.0,0.01073922989443903,[33.75379792],[0.21976549],7,unexplained,0
52.0,0.0,0.0967886546792204,[0.03894902],['RS'],0.0,['L56'],[0.09256068],0.3333333333333333,[1.21364263],0.0,[0.],[2.],0.0,[600.],[4],[3],[-0.37878024],[1.44673885e-05],767871931.0,0.11700572598354238,[8.40515561],[0.57688442],5,stimulus1,1
53.0,0.0,0.02211528305845163,[0.10312549],['RS'],0.0,['L56'],[0.04555463],0.0,[2.07443269],0.0,[135.],[2.],0.0,[500.],[2],[5],[0.21305816],[5.43355024e-07],767871931.0,0.009185347190727722,[7.80601686],[0.61809045],7,unexplained,0
57.0,0.0,0.0,[0.05606275],['RS'],0.0,['L56'],[0.13652984],0.0,[0.85673354],0.0,[135.],[2.],0.0,[400.],[5],[5],[0.3379694],[4.87189124e-05],767871931.0,0.03214051355970406,[7.23858656],[0.64556114],9,unexplained,0
58.0,0.0,0.026375151287743436,[0.23147843],['RS'],0.0,['L56'],[0.04670208],0.0,[2.88242342],0.0,[135.],[2.],0.0,[500.],[5],[5],[0.29349364],[7.66357836e-10],767871931.0,0.03647610061553743,[7.07168938],[0.60435511],7,unexplained,0
