,unit,SH_r2,SI_r2,SL_r2,final_r2,probe,session,SH_rate,SI_rate,SL_rate,total_rate,presence_ratio,amplitude_cutoff,isi_violations,rf_x,rf_y,cell_type,wf_duration,layer,rf_area,mod_idx_dg,run_mod_dg,run_pval_dg,pref_ori_dg,pref_tf_dg,c50_dg,lifetime_sparseness_dg
0,6,0.42217002327793074,0.10801425169973863,0.0,0.18904901413201144,probeC,767871931,3.329261799617903,6.83729433272395,9.57229309780831,5.56488361911048,0.99,0.0168683754335717,0.0499517080132915,5,4,RS,0.961474036850921,L56,2300.0,0.2543717100918905,-0.7680200058840836,1.6791719336016085e-19,90.0,2.0,0.5266901960784315,0.0115580304499866
1,20,0.06675761269593221,0.10712512883414724,0.09581437367524152,0.1079507053372362,probeC,767871931,1.7100441604810677,2.7178549664838516,3.2486915276414785,1.7994294733502,0.99,0.0228344908907628,0.361219088981608,2,4,RS,0.65929648241206,L56,900.0,1.3640388775230443,0.3641245972073039,4.400028116177485e-12,90.0,2.0,0.1202392156862745,0.755716397601413
2,25,0.5848129864055263,0.4149054192871846,0.30453009618462107,0.42333529880962767,probeC,767871931,13.85104450499546,15.986187284176317,23.313297350343476,11.2324422249527,0.99,0.000225947503430278,0.0,2,4,FS,0.260971524288107,L56,1000.0,0.2142089261551265,0.3255881498693,3.745413287844939e-09,0.0,2.0,0.3127686274509804,0.1991174653096125
3,39,0.18454422943796878,0.11065705321385384,0.0,0.10549948635940223,probeC,767871931,2.918976479062921,2.5959780621572213,2.8500163559044815,2.6388478207583,0.99,0.0489869544227729,0.308833798226117,7,6,RS,0.590619765494137,L56,300.0,5.474385107618255,0.3578947368421053,1.3945225999305685e-05,135.0,2.0,0.0517843137254902,0.1955839620063118
4,43,0.1344814718063914,0.0,0.0,0.0,probeC,767871931,95.80632027310597,96.10603290676417,80.851324828263,68.0844883341016,0.99,0.0169790461774078,0.00516025971616766,4,4,FS,0.219765494137353,L56,500.0,1.2346314145218018,0.2893392582748453,3.171288368993026e-10,0.0,2.0,0.1501882352941176,0.0353039396995916
5,44,0.2943048212288272,0.21572720631269143,0.049495133223104726,0.29715082460277475,probeC,767871931,11.387766607159637,6.977452772699574,5.4076709192018315,13.1941384420398,0.99,5.73985623203667e-05,0.00693532093983373,1,1,RS,0.673031825795645,L56,700.0,4.17537836432166,0.2884615384615384,0.0816961720359506,90.0,2.0,0.1972509803921569,0.1191070383501289
6,45,0.29722051105405634,0.0601499652964181,0.0,0.2631323265214478,probeC,767871931,11.48798897553948,7.097298395287427,5.254334314687602,8.54557874863457,0.99,0.00516745312077443,0.0304822983028308,3,4,RS,0.549413735343384,L56,500.0,1.4429983073597088,0.0851561977389792,0.1702289781960506,0.0,2.0,0.218643137254902,0.1591013055592924
7,46,0.33625554358518717,0.2522157164999778,0.0,0.32310980073856366,probeC,767871931,9.483541607942623,6.225878529352022,3.6575891396794242,8.52705698632217,0.99,0.011487017054446,0.0913256970005231,1,4,RS,0.590619765494137,L56,800.0,4.449609632774671,0.3018923713778829,2.0745371284473042e-09,90.0,2.0,0.4026156862745099,0.1824762211891209
8,47,0.38122025192486214,0.49245285437599684,0.24046813255147223,0.382990745228201,probeC,767871931,16.54921857872154,20.871419865935408,19.107785410533204,11.1488929710435,0.99,0.0396635380587516,0.0786181413688859,3,4,FS,0.1785594639866,L56,2000.0,0.0612627048174987,0.3014102501105597,2.699993666553038e-11,45.0,2.0,0.0646196078431372,0.0979804323107969
9,48,0.2826338103987448,0.0,0.0,0.35374155814531155,probeC,767871931,58.25268564627768,34.775543367865126,22.397366699378477,33.7537979175607,0.99,0.0025095391966537,0.0072192561319349,3,4,FS,0.219765494137353,L56,600.0,6.245915958211633,0.1728612851552202,0.0003549779399217,0.0,2.0,0.3042117647058824,0.0070512134104355
10,52,0.309913864486831,0.3593156804374411,0.0,0.28806343181141336,probeC,767871931,13.946568949857499,12.45378834044282,8.341511285574093,8.40515560501612,0.99,8.68901501720955e-05,0.00053405642282405,4,3,RS,0.576884422110553,L56,600.0,1.213642631357895,-0.3787802419354837,1.4467388458606569e-05,0.0,2.0,0.0389490196078431,0.092560682979323
11,53,0.1222139752203717,0.03826790825287378,0.0,0.05585422434985998,probeC,767871931,12.510570327915064,11.237050578915296,8.903745502126268,7.8060168589107,0.99,0.0389133828170454,0.0544881873747271,2,5,RS,0.618090452261307,L56,500.0,2.0744326928012677,0.2130581555930641,5.433550238219976e-07,135.0,2.0,0.1031254901960784,0.0455546334284871
12,57,0.22416535547957778,0.022894558278915688,0.0,0.0,probeC,767871931,8.042845062482384,7.436522445663214,7.178197579326136,7.2385865645901,0.99,0.000131601250385401,0.0,5,5,RS,0.645561139028476,L56,400.0,0.8567335393108888,0.3379694019471488,4.871891235155049e-05,135.0,2.0,0.0560627450980392,0.1365298414999977
13,58,0.11170816964485437,0.0,0.0,0.0,probeC,767871931,13.230918600645182,11.742839731870811,9.128639188747137,7.07168938027512,0.99,0.0048232755799422,0.0543206305087498,5,5,RS,0.604355108877722,L56,500.0,2.8824234248619933,0.2934936350777935,7.663578355272293e-10,135.0,2.0,0.231478431372549,0.0467020827915098
14,59,0.058770627815444135,0.05683791348477454,0.02821925120017541,0.061257054809948766,probeC,767871931,1.154123210874127,1.2004875076173067,2.101733725875041,1.93814136718979,0.99,0.0274230968497642,0.0301320729973608,4,5,RS,0.673031825795645,L56,500.0,0.2329036764460458,0.3666465984346778,1.5081370371199045e-06,0.0,2.0,0.1330745098039216,0.0752084259806112
15,60,0.20756169577321568,0.014921906572118847,0.0,0.0,probeC,767871931,9.353565723950014,8.0784074751168,12.111547268563951,10.104426635427,0.99,0.0983732485176805,0.0140423212743521,6,1,RS,0.590619765494137,L56,1700.0,0.7034973997439309,0.1870955278663189,0.0031372739938684,0.0,2.0,0.2571490196078432,0.1119782985524344
16,61,0.14804921775293783,0.021788498021208236,0.0,0.12067794195234038,probeC,767871931,8.362303861693132,6.290879544992891,4.369070984625449,6.2466656633598,0.99,0.000261402674889248,0.00193380255591565,5,5,RS,0.604355108877722,L56,300.0,0.079206789188695,-0.4025287356321839,0.0049624650507783,45.0,2.0,0.6037019607843138,0.1577855405426056
17,62,0.12052720691737868,0.03780114553944489,0.0,0.07507047233236128,probeC,767871931,12.039212001628615,10.489538899045298,7.37855740922473,7.32726956783588,0.99,0.0812918253447717,0.0407588867132162,2,4,RS,0.563149078726968,L56,600.0,4.2817297036335376,0.1560480147737765,0.0008883666579763,90.0,2.0,0.1544666666666667,0.1226354931735839
18,66,0.13414008281180886,0.0,0.0,0.0,probeC,767871931,12.939647342541265,13.022547227300429,11.234461890742558,8.4796453012725,0.99,0.0680162745514757,0.028334597354365,5,5,FS,0.233500837520938,L56,800.0,7.029694559899078,0.3264221158958001,2.9457520746385886e-09,90.0,2.0,0.424007843137255,0.0306431080705862
19,67,0.1685392025053299,0.04625959150307359,0.0,0.19215356674131337,probeC,767871931,15.298004948479441,10.96892138939671,6.947170428524697,10.3206480780739,0.99,0.00154178724467486,0.0382550236805662,4,2,RS,0.521943048576214,L56,1100.0,0.5476084990611836,-0.2906518624641833,0.0006324005912138,0.0,2.0,0.2571490196078432,0.0463947455538509
20,71,0.2323410067674076,0.1580439033780497,0.0735396491850637,0.17166518734551947,probeC,767871931,2.6840803031726646,2.8478569977655903,2.6169447170428524,2.83594353058263,0.99,9.18547978600449e-06,0.0140735854808179,4,3,RS,0.645561139028476,L56,600.0,0.4126923183284778,0.6089808393088045,8.0264832673219e-11,45.0,2.0,0.1287960784313725,0.1297005562633303
21,72,0.24639963867823428,0.13198909479316318,0.0,0.23202599278871433,probeC,767871931,9.947070061699396,7.09526711354865,4.479473339875695,4.81998665654663,0.99,0.00654004576779313,0.0389760862973789,4,4,RS,0.618090452261307,L56,800.0,6.692782108653555,0.0397422126745435,0.3700175860584003,90.0,2.0,0.2015294117647059,0.0137971635716448
