,unit,SH_r2,SI_r2,SL_r2,final_r2,probe,session,SH_rate,SI_rate,SL_rate,total_rate,presence_ratio,amplitude_cutoff,isi_violations,rf_x,rf_y,cell_type,layer
0,6,0.0,0.0,0.0,0.026573572746903796,probeC,767871931,3.329261799617903,6.83729433272395,9.57229309780831,5.56488361911048,0.99,0.0168683754335717,0.0499517080132915,5,4,RS,L56
1,20,0.0,0.01315168964579927,0.008874676749952593,0.02389995975511907,probeC,767871931,1.7100441604810677,2.7178549664838516,3.2486915276414785,1.7994294733502,0.99,0.0228344908907628,0.361219088981608,2,4,RS,L56
2,25,0.0,0.060817849107847974,0.09108431699632984,0.08854666408409737,probeC,767871931,13.85104450499546,15.986187284176317,23.313297350343476,11.2324422249527,0.99,0.000225947503430278,0.0,2,4,FS,L56
3,39,0.01851560747643157,0.011374762307091956,0.0,0.0,probeC,767871931,2.918976479062921,2.5959780621572213,2.8500163559044815,2.6388478207583,0.99,0.0489869544227729,0.308833798226117,7,6,RS,L56
4,43,0.0,0.0,0.0,0.0,probeC,767871931,95.80632027310597,96.10603290676417,80.851324828263,68.0844883341016,0.99,0.0169790461774078,0.00516025971616766,4,4,FS,L56
5,44,0.005450380280025735,0.009825709894377121,0.0,0.07838038671762822,probeC,767871931,11.387766607159637,6.977452772699574,5.4076709192018315,13.1941384420398,0.99,5.73985623203667e-05,0.00693532093983373,1,1,RS,L56
6,45,0.0,0.0,0.0,0.05790447947254784,probeC,767871931,11.48798897553948,7.097298395287427,5.254334314687602,8.54557874863457,0.99,0.00516745312077443,0.0304822983028308,3,4,RS,L56
7,46,0.0,0.0,0.0,0.05946330100024606,probeC,767871931,9.483541607942623,6.225878529352022,3.6575891396794242,8.52705698632217,0.99,0.011487017054446,0.0913256970005231,1,4,RS,L56
8,47,0.0,0.0,0.0,0.0,probeC,767871931,16.54921857872154,20.871419865935408,19.107785410533204,11.1488929710435,0.99,0.0396635380587516,0.0786181413688859,3,4,FS,L56
9,48,0.0,0.0,0.0,0.1853327310221234,probeC,767871931,58.25268564627768,34.775543367865126,22.397366699378477,33.7537979175607,0.99,0.0025095391966537,0.0072192561319349,3,4,FS,L56
